,code,p_age_range,wage_median
0,F01 관리자,20~24,0.0
1,F01 관리자,25~29,276.4
2,F01 관리자,30~34,391.5
3,F01 관리자,35~39,488.9
4,F01 관리자,40~44,479.0
5,F01 관리자,45~49,556.0
6,F01 관리자,50~54,610.7
7,F01 관리자,55~59,533.8
8,F01 관리자,60~64,418.9
9,F01 관리자,65~69,422.8
10,F01 관리자,70~74,353.6
11,F01 관리자,75~79,816.5
12,F02 의료·보건직,20~24,180.2
13,F02 의료·보건직,25~29,221.6
14,F02 의료·보건직,30~34,234.9
15,F02 의료·보건직,35~39,245.1
16,F02 의료·보건직,40~44,222.8
17,F02 의료·보건직,45~49,223.2
18,F02 의료·보건직,50~54,241.7
19,F02 의료·보건직,55~59,273.8
20,F02 의료·보건직,60~64,245.7
21,F02 의료·보건직,65~69,215.7
22,F02 의료·보건직,70~74,221.1
23,F02 의료·보건직,75~79,210.3
24,F02 의료·보건직,80~84,139.25
25,F03 법률·금융·공학 전문직,20~24,182.4
26,F03 법률·금융·공학 전문직,25~29,236.8
27,F03 법률·금융·공학 전문직,30~34,300.1
28,F03 법률·금융·공학 전문직,35~39,372.4
29,F03 법률·금융·공학 전문직,40~44,427.9
30,F03 법률·금융·공학 전문직,45~49,455.6
31,F03 법률·금융·공학 전문직,50~54,465.5
32,F03 법률·금융·공학 전문직,55~59,467.9
33,F03 법률·금융·공학 전문직,60~64,360.3
34,F03 법률·금융·공학 전문직,65~69,252.7
35,F03 법률·금융·공학 전문직,70~74,135.4
36,F03 법률·금융·공학 전문직,75~79,126.8
37,F03 법률·금융·공학 전문직,80~84,210.5
38,F03 법률·금융·공학 전문직,85~89,93.0
39,F03 법률·금융·공학 전문직,90~94,81.0
40,F04 일반 사무직,20~24,188.3
41,F04 일반 사무직,25~29,228.3
42,F04 일반 사무직,30~34,280.4
43,F04 일반 사무직,35~39,319.5
44,F04 일반 사무직,40~44,351.9
45,F04 일반 사무직,45~49,361.4
46,F04 일반 사무직,50~54,322.6
47,F04 일반 사무직,55~59,333.0
48,F04 일반 사무직,60~64,232.6
49,F04 일반 사무직,65~69,206.8
50,F04 일반 사무직,70~74,228.1
51,F05 경영·회계 사무직,20~24,186.6
52,F05 경영·회계 사무직,25~29,219.1
53,F05 경영·회계 사무직,30~34,269.2
54,F05 경영·회계 사무직,35~39,316.4
55,F05 경영·회계 사무직,40~44,356.6
56,F05 경영·회계 사무직,45~49,385.6
57,F05 경영·회계 사무직,50~54,411.5
58,F05 경영·회계 사무직,55~59,403.0
59,F05 경영·회계 사무직,60~64,304.1
60,F05 경영·회계 사무직,65~69,261.2
61,F05 경영·회계 사무직,70~74,231.2
62,F05 경영·회계 사무직,75~79,282.1
63,F05 경영·회계 사무직,80~84,315.0
64,F06 서비스직,20~24,151.6
65,F06 서비스직,25~29,213.6
66,F06 서비스직,30~34,262.1
67,F06 서비스직,35~39,305.1
68,F06 서비스직,40~44,291.5
69,F06 서비스직,45~49,284.9
70,F06 서비스직,50~54,230.9
71,F06 서비스직,55~59,205.6
72,F06 서비스직,60~64,171.4
73,F06 서비스직,65~69,155.2
74,F06 서비스직,70~74,118.1
75,F06 서비스직,75~79,71.5
76,F06 서비스직,80~84,63.5
77,F07 청소·경비직,20~24,180.0
78,F07 청소·경비직,25~29,205.4
79,F07 청소·경비직,30~34,243.1
80,F07 청소·경비직,35~39,205.1
81,F07 청소·경비직,40~44,195.8
82,F07 청소·경비직,45~49,190.0
83,F07 청소·경비직,50~54,177.3
84,F07 청소·경비직,55~59,158.2
85,F07 청소·경비직,60~64,151.3
86,F07 청소·경비직,65~69,144.6
87,F07 청소·경비직,70~74,133.9
88,F07 청소·경비직,75~79,128.6
89,F07 청소·경비직,80~84,108.1
90,F07 청소·경비직,85~89,97.33333333333333
91,F08 식음료 조리직,20~24,173.9
92,F08 식음료 조리직,25~29,217.7
93,F08 식음료 조리직,30~34,233.8
94,F08 식음료 조리직,35~39,258.5
95,F08 식음료 조리직,40~44,228.5
96,F08 식음료 조리직,45~49,217.4
97,F08 식음료 조리직,50~54,206.8
98,F08 식음료 조리직,55~59,215.3
99,F08 식음료 조리직,60~64,192.9
100,F08 식음료 조리직,65~69,202.8
101,F08 식음료 조리직,70~74,169.7
102,F08 식음료 조리직,75~79,144.7
103,F08 식음료 조리직,80~84,65.5
104,F08 운전·운송직,20~24,187.0
105,F08 운전·운송직,25~29,223.7
106,F08 운전·운송직,30~34,261.1
107,F08 운전·운송직,35~39,294.1
108,F08 운전·운송직,40~44,294.7
109,F08 운전·운송직,45~49,289.6
110,F08 운전·운송직,50~54,280.6
111,F08 운전·운송직,55~59,271.0
112,F08 운전·운송직,60~64,222.2
113,F08 운전·운송직,65~69,186.0
114,F08 운전·운송직,70~74,152.6
115,F08 운전·운송직,75~79,179.5
116,F08 운전·운송직,80~84,130.75
117,F10 판매·영업직,20~24,165.2
118,F10 판매·영업직,25~29,206.4
119,F10 판매·영업직,30~34,239.3
120,F10 판매·영업직,35~39,270.6
121,F10 판매·영업직,40~44,277.4
122,F10 판매·영업직,45~49,267.2
123,F10 판매·영업직,50~54,237.9
124,F10 판매·영업직,55~59,237.0
125,F10 판매·영업직,60~64,208.0
126,F10 판매·영업직,65~69,167.9
127,F10 판매·영업직,70~74,139.9
128,F10 판매·영업직,75~79,117.0
129,F10 판매·영업직,80~84,93.9
130,F10 판매·영업직,85~89,145.5
131,F11 농·임·어업직,20~24,201.66666666666666
132,F11 농·임·어업직,25~29,217.1
133,F11 농·임·어업직,30~34,219.0
134,F11 농·임·어업직,35~39,334.4
135,F11 농·임·어업직,40~44,310.0
136,F11 농·임·어업직,45~49,277.8
137,F11 농·임·어업직,50~54,249.5
138,F11 농·임·어업직,55~59,235.3
139,F11 농·임·어업직,60~64,187.1
140,F11 농·임·어업직,65~69,136.9
141,F11 농·임·어업직,70~74,105.8
142,F11 농·임·어업직,75~79,71.3
143,F11 농·임·어업직,80~84,53.1
144,F11 농·임·어업직,85~89,40.9
145,F11 농·임·어업직,90~94,44.0
146,F12 기능·기술직,20~24,203.7
147,F12 기능·기술직,25~29,232.6
148,F12 기능·기술직,30~34,274.8
149,F12 기능·기술직,35~39,309.5
150,F12 기능·기술직,40~44,307.0
151,F12 기능·기술직,45~49,314.2
152,F12 기능·기술직,50~54,282.8
153,F12 기능·기술직,55~59,266.4
154,F12 기능·기술직,60~64,234.4
155,F12 기능·기술직,65~69,205.9
156,F12 기능·기술직,70~74,179.8
157,F12 기능·기술직,75~79,118.7
158,F12 기능·기술직,80~84,77.5
159,F12 기능·기술직,85~89,71.5
160,F12 기능·기술직,90~94,149.0
161,F13 단순노무직,20~24,170.0
162,F13 단순노무직,25~29,201.2
163,F13 단순노무직,30~34,210.0
164,F13 단순노무직,35~39,202.6
165,F13 단순노무직,40~44,179.5
166,F13 단순노무직,45~49,169.5
167,F13 단순노무직,50~54,177.5
168,F13 단순노무직,55~59,171.5
169,F13 단순노무직,60~64,167.2
170,F13 단순노무직,65~69,141.8
171,F13 단순노무직,70~74,107.3
172,F13 단순노무직,75~79,87.8
173,F13 단순노무직,80~84,174.4
174,F13 단순노무직,85~89,400.8
175,F13 단순노무직,90~94,315.0
